al,co,cr,cu,fe,ni
44,16,18,5,10,7
41,19,27,0,8,5
47,16,16,5,11,5
42,20,22,6,5,5
44,15,24,5,6,6
43,21,19,6,5,6
42,18,20,6,9,5
47,16,18,7,7,5
41,19,24,0,10,6
43,22,17,5,7,6
44,15,19,5,11,6
44,16,18,5,12,5
43,17,25,5,5,5
45,21,15,5,8,6
47,19,17,7,5,5
44,15,23,6,7,5
42,21,21,6,5,5
41,19,24,0,11,5
44,16,20,7,8,5
46,16,17,5,8,8
44,17,18,6,8,7
45,16,17,5,12,5
45,15,23,6,6,5
44,15,22,6,7,6
41,22,21,5,6,5
47,19,15,5,7,7
46,14,20,6,8,6
44,14,21,5,10,6
44,17,21,6,5,7
45,15,21,5,6,8
47,16,19,7,6,5
43,15,21,5,10,6
46,15,24,5,5,5
41,22,27,0,5,5
45,16,18,7,9,5
43,23,20,0,5,9
42,21,19,6,7,5
42,17,24,0,10,7
44,16,19,6,8,7
41,19,21,5,9,5
45,14,24,5,7,5
