al,co,cr,cu,fe,ni
38,31,20,0,6,5
47,14,11,7,16,5
38,18,21,9,7,7
42,10,25,5,6,12
37,15,30,6,7,5
39,16,25,0,8,12
45,17,12,9,7,10
45,9,17,5,17,7
41,12,17,10,12,8
41,15,24,0,6,14
40,18,15,10,11,6
41,12,25,0,17,5
38,17,33,0,6,6
38,13,23,6,13,7
36,28,24,0,5,7
47,10,19,8,5,11
41,20,18,0,8,13
38,14,22,8,11,7
43,11,16,11,11,8
44,16,12,10,9,9
40,14,20,5,9,12
42,17,12,6,14,9
43,17,16,12,6,6
41,16,22,0,7,14
42,8,22,7,14,7
41,11,18,6,16,8
40,12,30,7,6,5
43,8,20,9,13,7
44,13,13,6,18,6
43,9,27,0,10,11
47,8,25,5,5,10
41,17,13,6,15,8
44,13,17,7,6,13
40,11,22,9,10,8
36,18,24,6,9,7
46,10,14,6,16,8
42,8,26,7,12,5
43,8,28,6,7,8
45,11,22,11,5,6
42,8,24,6,10,10
42,16,17,0,15,10
43,25,15,0,5,12
38,18,18,7,12,7
42,18,12,5,16,7
36,19,23,7,10,5
37,15,25,8,10,5
47,19,9,7,11,7
40,19,19,11,6,5
45,9,17,6,11,12
46,17,10,6,11,10
38,16,33,0,8,5
39,16,18,10,12,5
41,11,25,5,6,12
46,20,10,5,9,10
38,16,20,9,12,5
41,11,18,7,17,6
40,16,16,7,11,10
38,21,21,9,5,6
40,11,27,6,6,10
42,19,14,10,7,8
46,11,15,5,10,13
40,11,27,7,6,9
41,20,13,7,10,9
44,15,11,10,12,8
37,29,21,0,7,6
44,17,10,9,13,7
44,13,12,8,17,6
40,18,21,11,5,5
42,16,12,10,13,7
45,11,15,9,9,11
46,8,21,8,7,10
41,13,21,5,7,13
44,16,11,11,13,5
41,12,24,6,5,12
43,10,30,6,5,6
37,30,22,0,5,6
47,8,18,7,15,5
42,15,15,12,11,5
45,13,13,5,18,6
45,12,14,9,9,11
41,9,29,6,10,5
43,18,15,0,18,6
43,22,13,10,6,6
41,11,18,10,14,6
47,20,10,8,7,8
40,10,30,5,8,7
44,13,12,7,14,10
43,18,12,6,10,11
47,7,26,5,7,8
46,18,11,9,7,9
38,18,18,6,13,7
37,17,24,8,7,7
43,16,11,9,16,5
37,14,27,7,9,6
45,7,21,7,10,10
42,10,18,9,16,5
43,13,14,5,14,11
47,9,15,9,11,9
45,13,13,7,10,12
45,7,23,6,14,5
46,14,12,6,10,12
41,19,15,9,7,9
42,15,12,9,16,6
46,19,11,11,8,5
47,16,11,11,9,6
40,11,21,8,11,9
40,16,21,10,5,8
42,15,13,7,18,5
46,16,10,10,13,5
40,15,19,5,9,12
40,10,23,6,15,6
41,13,29,0,5,12
46,8,17,8,11,10
41,17,16,6,8,12
47,8,25,6,5,9
42,14,13,10,13,8
40,28,16,0,9,7
41,15,15,5,14,10
40,13,17,7,15,8
41,18,16,6,7,12
36,22,21,5,11,5
41,12,18,7,11,11
44,13,18,7,5,13
40,12,21,10,10,7
47,10,16,7,8,12
47,15,15,12,5,6
43,9,27,8,6,7
38,14,22,5,14,7
45,10,15,5,14,11
40,20,14,9,11,6
36,21,29,0,5,9
43,10,17,8,11,11
40,14,17,10,12,7
39,19,20,0,15,7
41,13,20,7,7,12
39,18,18,7,8,10
38,18,33,0,5,6
45,19,11,11,9,5
40,12,22,10,9,7
42,11,23,0,13,11
44,12,13,6,16,9
43,12,14,6,17,8
38,12,29,6,9,6
40,18,17,9,7,9
43,10,18,5,12,12
40,16,19,11,8,6
42,9,21,6,11,11
47,14,12,6,9,12
45,7,26,7,9,6
44,11,18,12,9,6
47,8,24,8,6,7
37,17,24,5,7,10
46,12,18,12,6,6
43,9,21,6,9,12
41,12,21,8,7,11
43,8,20,6,13,10
44,18,11,11,11,5
37,17,21,7,13,5
41,14,16,7,11,11
38,12,29,6,10,5
38,17,19,8,11,7
41,23,15,0,13,8
46,13,11,10,13,7
39,18,16,7,12,8
41,17,14,5,13,10
42,14,13,7,17,7
38,13,23,7,14,5
44,10,17,5,18,6
36,19,23,5,10,7
44,22,10,7,10,7
46,19,12,7,5,11
47,8,28,5,7,5
43,11,15,9,17,5
39,14,30,7,5,5
45,14,11,9,16,5
41,17,14,5,18,5
42,15,12,8,16,7
44,9,23,10,7,7
37,19,32,0,5,7
44,11,17,8,8,12
40,12,26,9,6,7
46,18,10,8,9,9
46,9,16,9,10,10
42,10,19,5,13,11
41,12,31,6,5,5
45,15,14,10,6,10
47,8,16,7,13,9
36,16,28,6,8,6
37,18,23,5,7,10
39,21,18,9,6,7
45,9,20,11,9,6
42,20,13,5,9,11
47,9,21,7,5,11
39,19,20,5,5,12
44,20,10,9,11,6
46,9,18,11,11,5
36,19,25,5,6,9
42,16,18,0,19,5
42,13,23,11,5,6
46,12,13,6,11,12
45,21,10,9,9,6
42,18,13,5,11,11
41,15,20,0,18,6
38,12,27,7,11,5
45,16,10,9,12,8
42,8,22,6,14,8
47,8,22,6,6,11
45,16,12,12,10,5
41,15,14,6,16,8
40,16,15,10,14,5
44,19,11,10,9,7
39,15,18,9,12,7
46,8,24,9,8,5
38,14,22,5,15,6
45,8,17,7,13,10
46,9,19,11,9,6
41,9,22,6,13,9
45,11,15,10,9,10
43,12,19,8,6,12
41,11,18,10,13,7
40,17,20,10,5,8
40,12,23,8,7,10
44,8,20,9,14,5
42,9,19,9,14,7
44,11,15,6,12,12
47,11,13,7,11,11
35,22,30,0,8,5
46,7,20,7,10,10
38,17,19,5,14,7
45,9,23,7,5,11
40,17,14,9,15,5
41,18,15,7,8,11
44,14,11,10,14,7
46,13,11,9,15,6
42,10,25,9,6,8
45,15,13,5,9,13
47,7,24,6,7,9
39,14,19,9,12,7
41,11,18,9,16,5
41,16,19,10,5,9
43,10,22,8,6,11
39,21,19,10,6,5
47,10,20,10,5,8
46,13,13,5,18,5
45,7,23,5,9,11
44,7,24,6,9,10
42,8,25,7,13,5
42,22,14,10,6,6
40,18,16,10,9,7
45,13,12,6,17,7
39,21,18,5,6,11
39,13,27,7,5,9
44,8,18,8,15,7
41,13,15,8,14,9
39,13,28,0,11,9
43,16,12,5,14,10
44,14,13,12,11,6
45,11,16,8,8,12
43,19,11,10,11,6
37,21,23,0,12,7
41,14,17,8,9,11
41,12,20,8,8,11
37,21,19,6,11,6
43,16,11,7,16,7
40,14,19,11,11,5
37,18,27,8,5,5
43,17,15,0,16,9
45,12,12,10,15,6
40,13,29,8,5,5
47,10,14,7,11,11
45,21,10,6,9,9
41,13,16,6,14,10
40,15,17,9,10,9
46,7,20,7,14,6
46,12,12,6,14,10
36,19,26,6,5,8
37,15,29,6,6,7
40,12,19,7,17,5
39,13,20,6,14,8
47,16,10,10,12,5
39,13,20,9,13,6
37,17,31,0,7,8
45,10,22,10,5,8
42,9,27,8,7,7
40,12,21,6,10,11
39,12,21,7,14,7
46,11,14,11,10,8
45,14,14,8,7,12
41,11,18,6,15,9
43,9,25,0,14,9
40,14,16,7,15,8
40,20,16,9,7,8
38,16,22,9,8,7
41,11,27,8,5,8
38,14,25,6,7,10
39,11,26,8,11,5
40,10,22,7,14,7
41,9,24,6,15,5
40,17,14,9,14,6
41,15,20,10,5,9
46,9,15,6,15,9
45,12,19,12,6,6
42,12,14,9,16,7
39,13,20,6,16,6
40,16,17,5,11,11
40,10,23,7,11,9
45,18,10,6,16,5
47,14,14,6,6,13
44,15,14,10,7,10
41,14,17,10,9,9
47,16,10,10,11,6
39,13,25,7,6,10
42,15,12,8,15,8
42,19,14,5,8,12
43,9,25,0,13,10
46,7,21,7,9,10
42,10,23,6,7,12
43,7,24,6,11,9
39,21,16,5,10,9
42,16,16,11,7,8
37,17,21,6,14,5
41,16,14,5,16,8
40,15,18,7,9,11
38,18,23,0,14,7
44,14,17,12,6,7
41,12,29,8,5,5
42,20,11,7,13,7
41,11,31,0,8,9
43,8,20,9,12,8
43,14,13,5,15,10
46,18,11,8,7,10
42,18,15,8,6,11
40,13,27,9,5,6
38,15,32,0,8,7
46,10,18,6,7,13
38,13,25,8,9,7
44,10,25,10,6,5
47,7,25,6,7,8
39,13,31,0,12,5
41,12,16,8,14,9
39,11,30,5,8,7
44,9,16,8,13,10
47,22,9,7,10,5
41,11,19,5,14,10
42,14,14,5,16,9
40,16,17,11,11,5
42,10,27,9,7,5
40,17,15,5,15,8
39,19,21,0,10,11
38,15,27,0,12,8
41,12,25,0,10,12
35,20,25,5,10,5
43,18,12,11,10,6
42,8,22,6,13,9
40,16,15,6,15,8
41,20,14,7,8,10
44,19,15,12,5,5
43,14,14,12,11,6
47,9,19,10,7,8
43,20,11,10,11,5
40,13,33,0,9,5
45,12,16,12,8,7
35,19,26,5,10,5
45,9,16,9,11,10
38,17,29,0,5,11
46,9,15,6,14,10
40,17,14,7,15,7
40,12,27,0,15,6
42,8,27,5,13,5
36,20,23,7,8,6
40,15,20,11,8,6
44,11,14,7,13,11
43,9,26,0,11,11
45,7,27,6,8,7
41,9,23,5,15,7
45,13,15,11,7,9
44,7,24,8,10,7
46,7,19,6,12,10
41,19,12,8,15,5
41,9,27,5,8,10
42,13,24,0,7,14
44,8,22,5,9,12
45,9,17,5,12,12
41,13,15,7,16,8
41,9,29,6,8,7
43,11,14,10,15,7
44,8,28,5,6,9
40,17,14,7,16,6
42,10,29,0,14,5
41,12,21,9,7,10
44,7,26,7,9,7
44,7,26,7,10,6
37,15,28,6,6,8
46,12,13,11,10,8
41,16,16,5,10,12
44,8,27,5,6,10
43,17,15,0,15,10
39,13,20,8,12,8
41,22,12,6,13,6
41,22,12,6,14,5
46,7,25,6,7,9
43,9,26,9,7,6
36,21,24,5,5,9
42,14,14,9,11,10
41,16,19,0,18,6
37,19,24,8,5,7
41,16,16,9,8,10
38,17,23,7,5,10
45,8,21,10,11,5
43,12,16,12,11,6
43,8,23,9,12,5
43,7,27,5,11,7
43,15,11,9,15,7
40,13,19,8,10,10
46,10,14,7,12,11
39,19,16,9,11,6
42,9,25,8,7,9
37,22,20,6,7,8
41,13,23,5,5,13
43,10,32,0,9,6
35,19,28,5,7,6
41,9,25,5,15,5
40,26,16,0,10,8
39,11,25,8,12,5
41,12,19,9,9,10
35,27,26,0,7,5
43,17,11,6,16,7
42,11,22,9,6,10
41,24,15,0,11,9
38,17,20,7,9,9
43,15,12,6,14,10
44,8,18,7,13,10
35,22,29,0,8,6
36,23,24,0,12,5
44,10,22,11,7,6
43,10,16,7,17,7
46,18,10,9,9,8
41,15,15,5,18,6
43,17,12,6,11,11
38,22,19,5,6,10
41,10,30,5,6,8
43,16,16,9,5,11
47,8,16,8,13,8
41,11,17,8,15,8
38,18,23,0,15,6
38,22,21,0,9,10
42,14,14,10,11,9
38,17,21,9,8,7
45,13,11,9,15,7
41,17,13,7,13,9
40,16,16,5,18,5
46,10,15,11,13,5
43,13,15,9,9,11
41,15,25,0,5,14
41,15,16,9,9,10
47,15,14,12,6,6
45,13,16,7,6,13
39,14,21,10,10,6
47,8,21,5,7,12
40,10,27,8,9,6
41,16,13,7,15,8
41,10,19,7,15,8
45,14,16,7,5,13
43,9,17,9,15,7
47,15,14,11,5,8
37,16,29,7,6,5
47,8,17,6,11,11
41,20,16,0,15,8
42,10,26,7,5,10
36,21,24,6,5,8
46,12,15,8,7,12
47,13,13,7,8,12
43,12,23,11,5,6
46,10,15,7,17,5
40,13,24,8,5,10
46,11,13,9,11,10
46,11,16,12,9,6
45,17,10,8,11,9
44,10,30,6,5,5
43,18,15,0,12,12
42,13,14,11,14,6
42,11,17,5,15,10
43,10,17,11,12,7
41,10,22,10,11,6
46,8,21,10,9,6
42,10,26,9,6,7
47,9,23,9,5,7
46,9,20,5,7,13
43,7,24,6,13,7
43,10,22,5,7,13
45,13,13,12,11,6
46,19,10,6,9,10
47,7,21,5,9,11
40,17,18,10,7,8
38,21,17,6,11,7
45,8,23,5,7,12
36,17,25,7,10,5
46,16,12,12,9,5
40,16,23,0,8,13
44,9,19,11,11,6
41,12,24,9,5,9
40,12,32,0,10,6
39,14,31,6,5,5
47,9,15,9,14,6
42,20,14,8,6,10
41,13,23,10,5,8
45,15,12,12,11,5
41,13,18,10,9,9
41,18,15,10,8,8
42,8,22,8,13,7
42,11,17,10,11,9
39,22,15,6,11,7
40,18,17,11,9,5
42,8,22,8,12,8
43,16,15,6,7,13
47,12,12,9,15,5
44,10,22,8,5,11
38,15,27,0,14,6
37,21,20,7,8,7
36,19,28,0,10,7
43,12,15,5,18,7
36,20,22,5,11,6
43,20,13,8,6,10
42,14,20,0,11,13
45,9,18,7,9,12
38,18,23,9,5,7
46,20,10,9,8,7
44,11,14,10,16,5
45,12,12,9,16,6
43,8,26,6,7,10
40,11,21,5,15,8
43,10,27,9,6,5
47,18,12,10,5,8
41,9,26,7,8,9
39,13,28,0,14,6
42,20,11,7,15,5
45,14,14,12,8,7
43,17,11,10,12,7
43,9,30,0,9,9
43,13,15,5,19,5
47,18,10,10,9,6
44,9,23,6,6,12
39,16,33,0,5,7
38,15,25,5,6,11
43,8,24,9,9,7
47,20,9,5,12,7
38,14,23,9,11,5
38,13,27,7,7,8
40,12,26,7,5,10
46,15,12,12,10,5
47,15,11,11,10,6
39,11,25,8,10,7
43,7,25,5,13,7
39,11,24,7,14,5
44,13,17,5,7,14
40,11,25,8,7,9
46,7,20,8,13,6
43,12,14,11,15,5
44,20,10,5,14,7
42,14,17,12,9,6
44,16,13,12,9,6
45,8,22,8,7,10
45,13,16,11,6,9
44,14,11,8,16,7
37,21,19,7,11,5
41,17,14,11,12,5
39,21,15,6,12,7
43,7,24,7,11,8
46,8,23,8,6,9
46,16,13,11,6,8
37,16,30,0,10,7
41,10,20,7,12,10
38,13,30,6,7,6
44,9,16,8,16,7
47,8,17,5,12,11
42,8,29,5,9,7
44,18,13,8,6,11
42,15,19,11,5,8
42,15,19,0,11,13
38,17,24,0,14,7
45,12,12,8,13,10
39,19,15,7,15,5
40,19,18,11,7,5
44,9,21,8,7,11
43,11,30,0,5,11
41,19,14,10,9,7
39,18,21,0,17,5
38,12,26,5,11,8
44,13,13,5,14,11
44,15,16,5,6,14
46,13,16,5,6,14
41,9,23,6,11,10
46,7,20,8,10,9
44,8,18,9,14,7
44,9,16,7,14,10
44,12,19,5,6,14
38,22,19,8,6,7
39,27,18,0,7,9
41,13,26,10,5,5
43,27,14,0,6,10
42,11,22,5,7,13
36,17,25,6,9,7
40,10,27,5,8,10
37,17,22,8,10,6
40,29,16,0,9,6
40,10,27,8,10,5
41,16,14,6,13,10
45,10,24,10,5,6
38,12,26,7,12,5
45,8,18,7,11,11
43,9,28,0,14,6
45,9,18,11,12,5
36,16,26,6,10,6
37,14,25,6,13,5
36,21,31,0,5,7
42,13,20,12,8,5
46,8,17,9,11,9
37,18,29,0,6,10
42,10,25,10,8,5
42,11,27,9,5,6
43,11,15,6,17,8
47,7,19,6,14,7
42,12,16,8,11,11
47,20,10,7,7,9
47,7,21,7,13,5
41,11,17,9,15,7
40,12,21,5,11,11
42,10,30,0,13,5
38,18,22,7,5,10
40,13,33,0,8,6
43,11,21,6,6,13
38,12,26,6,10,8
45,17,10,7,16,5
47,7,24,5,7,10
41,12,17,6,14,10
38,15,21,9,12,5
41,11,19,5,17,7
40,13,20,7,9,11
42,12,23,0,10,13
46,11,17,12,8,6
38,17,19,7,11,8
41,16,14,9,11,9
43,16,14,12,9,6
38,18,19,6,10,9
41,19,17,0,12,11
41,19,13,5,17,5
43,18,14,12,8,5
44,8,21,10,11,6
39,11,28,7,8,7
46,7,23,8,11,5
39,14,19,6,17,5
42,10,18,6,17,7
46,15,11,6,17,5
45,14,11,8,12,10
39,17,17,7,11,9
42,17,19,12,5,5
44,8,22,7,8,11
41,10,31,5,8,5
37,14,26,5,10,8
45,7,22,7,9,10
45,8,21,10,9,7
44,15,15,12,7,7
44,13,12,11,14,6
46,8,17,5,14,10
40,15,19,11,9,6
45,22,11,7,6,9
40,15,15,9,14,7
47,12,12,7,16,6
45,16,10,7,13,9
46,17,10,6,16,5
36,18,26,6,6,8
43,13,13,6,16,9
44,10,16,11,14,5
43,16,11,10,13,7
45,10,20,6,6,13
47,8,17,9,13,6
41,20,12,7,13,7
41,16,13,8,17,5
44,12,13,9,17,5
44,10,15,7,17,7
44,10,15,6,16,9
37,15,28,5,6,9
41,10,28,8,7,6
47,20,9,7,10,7
46,17,13,7,5,12
37,23,24,0,5,11
41,17,13,9,12,8
41,18,15,11,9,6
39,13,20,9,14,5
39,13,22,7,9,10
45,9,18,11,10,7
40,13,19,5,18,5
45,8,17,8,15,7
42,19,12,5,17,5
35,20,26,6,8,5
47,13,12,11,10,7
42,14,15,11,10,8
43,13,13,11,15,5
47,8,19,7,8,11
41,14,14,8,17,6
39,12,22,6,16,5
45,11,18,10,6,10
36,22,22,7,8,5
43,7,24,7,12,7
47,15,10,6,14,8
44,11,16,12,12,5
47,20,9,8,11,5
44,16,11,8,11,10
44,14,16,11,6,9
42,21,13,8,7,9
40,14,16,8,17,5
40,12,31,5,5,7
41,12,18,11,13,5
39,14,26,0,11,10
47,14,11,10,10,8
41,12,31,0,6,10
44,12,13,6,15,10
43,10,16,8,17,6
42,16,13,5,14,10
47,7,19,8,12,7
46,7,22,8,12,5
45,13,11,8,15,8
45,7,20,5,14,9
45,13,16,5,7,14
46,9,17,11,11,6
45,13,12,6,13,11
42,17,12,6,17,6
42,8,29,5,10,6
43,8,26,7,7,9
38,28,19,0,8,7
40,12,28,0,15,5
43,11,23,0,18,5
45,16,10,9,15,5
44,10,15,6,15,10
46,21,9,7,12,5
41,10,19,9,14,7
42,14,18,9,6,11
43,17,16,0,11,13
44,16,14,6,7,13
43,8,19,8,14,8
42,8,23,6,11,10
44,9,18,6,11,12
46,14,14,10,6,10
39,16,21,8,6,10
46,9,17,10,9,9
44,12,14,6,12,12
44,11,19,8,6,12
47,10,14,7,16,6
40,12,18,8,14,8
41,19,12,7,15,6
44,14,11,8,14,9
45,8,17,9,14,7
39,13,29,7,5,7
44,7,28,5,9,7
46,12,14,5,10,13
41,14,14,10,15,6
43,13,13,9,12,10
40,13,18,10,12,7
40,17,15,9,11,8
46,8,21,10,10,5
46,18,12,6,6,12
43,15,15,10,7,10
43,22,12,9,7,7
39,18,18,10,9,6
42,31,15,0,6,6
40,18,15,8,10,9
46,15,10,9,12,8
39,13,23,5,9,11
43,9,20,5,11,12
46,8,18,8,15,5
40,12,20,5,13,10
43,17,15,12,7,6
37,23,22,0,10,8
42,18,17,0,10,13
40,19,15,6,10,10
39,18,20,5,6,12
39,19,17,5,10,10
45,16,10,10,13,6
42,12,26,10,5,5
46,9,17,6,17,5
44,9,20,11,10,6
43,14,14,7,10,12
44,14,16,7,6,13
45,9,20,7,7,12
45,12,16,11,7,9
41,9,28,7,8,7
46,9,18,7,8,12
37,20,20,8,10,5
35,23,27,0,10,5
47,21,10,9,7,6
40,12,25,10,8,5
43,18,13,11,8,7
44,9,17,5,15,10
40,10,26,7,8,9
41,19,13,5,13,9
41,10,22,8,9,10
45,9,21,5,7,13
40,12,32,0,9,7
37,17,27,0,12,7
42,9,28,6,6,9
47,10,15,10,9,9
46,10,16,11,9,8
45,7,21,5,15,7
42,19,11,7,14,7
42,20,15,11,6,6
42,12,15,11,14,6
45,11,14,5,17,8
41,11,19,10,11,8
41,9,22,8,14,6
46,18,10,5,16,5
47,11,16,6,7,13
41,11,18,7,13,10
45,15,11,5,16,8
39,21,22,0,5,13
39,19,15,7,14,6
46,9,24,9,5,7
44,14,15,11,7,9
40,17,22,11,5,5
44,13,12,10,16,5
43,7,25,7,11,7
47,8,16,7,14,8
45,17,14,6,5,13
36,20,24,5,6,9
41,17,14,9,10,9
36,21,22,7,9,5
43,16,16,0,18,7
47,13,11,6,14,9
43,10,28,0,7,12
44,11,13,9,14,9
44,13,17,11,6,9
40,10,25,6,9,10
38,12,25,6,12,7
46,9,20,11,9,5
37,16,30,0,12,5
40,20,15,6,9,10
42,8,25,6,9,10
42,8,25,6,14,5
37,14,28,7,9,5
46,9,15,10,13,7
47,11,16,11,7,8
46,22,10,7,7,8
46,7,25,5,7,10
43,10,24,10,6,7
46,7,23,5,8,11
39,23,18,0,12,8
37,21,25,0,6,11
42,12,15,6,16,9
44,18,13,12,8,5
39,15,17,8,15,6
45,8,23,9,7,8
45,7,20,8,11,9
43,16,11,10,15,5
39,13,29,0,14,5
36,20,22,6,10,6
41,19,16,10,6,8
37,19,20,6,11,7
45,12,15,12,9,7
45,8,20,10,12,5
45,19,11,6,8,11
39,17,18,10,10,6
43,20,12,5,9,11
39,14,20,10,12,5
46,10,14,9,11,10
39,16,22,8,5,10
41,14,15,8,12,10
43,18,14,10,6,9
42,13,25,0,6,14
37,17,21,6,13,6
41,12,16,8,17,6
38,14,26,7,6,9
40,10,22,8,13,7
38,14,21,7,14,6
39,16,17,6,17,5
37,16,31,0,10,6
38,19,19,9,9,6
40,12,31,6,6,5
47,15,14,6,5,13
44,9,28,7,5,7
43,9,29,7,7,5
43,8,27,7,7,8
46,12,14,9,8,11
38,15,20,7,13,7
44,11,16,12,11,6
40,15,15,9,16,5
44,8,26,6,6,10
40,13,17,9,16,5
43,11,15,7,13,11
47,8,21,9,7,8
44,21,10,5,12,8
45,8,18,10,12,7
45,13,14,8,8,12
47,19,9,8,11,6
42,17,13,6,11,11
47,17,13,5,5,13
46,17,11,7,8,11
46,7,24,8,9,6
46,12,18,5,5,14
38,12,30,5,9,6
42,10,25,0,15,8
38,21,20,9,6,6
45,12,17,5,7,14
47,10,23,10,5,5
47,11,19,11,5,7
41,9,22,6,15,7
43,19,14,0,16,8
41,19,17,0,18,5
43,8,24,9,11,5
42,14,14,7,12,11
46,12,17,10,5,10
42,11,17,11,12,7
38,12,25,6,13,6
39,14,20,6,11,10
36,22,24,7,5,6
47,16,10,6,11,10
41,18,18,0,11,12
42,8,28,5,12,5
47,17,13,12,6,5
39,17,19,6,8,11
39,19,20,0,16,6
37,16,26,5,6,10
42,17,14,5,10,12
38,14,25,8,7,8
45,12,13,5,14,11
38,13,24,8,10,7
44,17,10,7,15,7
37,19,22,8,7,7
45,14,11,6,15,9
42,10,31,5,6,6
41,26,15,0,9,9
47,14,13,11,7,8
38,17,24,0,15,6
43,16,16,0,13,12
44,12,17,12,8,7
38,19,21,9,6,7
39,12,22,5,15,7
43,16,11,8,13,9
42,19,13,6,9,11
42,16,15,7,8,12
47,8,17,7,15,6
39,11,24,5,14,7
35,22,28,0,10,5
43,16,12,6,18,5
40,12,18,8,16,6
46,12,13,5,12,12
46,15,10,7,15,7
47,9,15,8,15,6
42,12,17,5,12,12
42,15,13,6,14,10
44,12,19,10,5,10
40,25,16,0,11,8
41,21,16,5,5,12
46,11,13,10,11,9
45,9,28,7,5,6
44,21,10,9,11,5
45,12,17,7,6,13
44,14,11,9,16,6
44,7,24,8,11,6
35,24,30,0,6,5
37,17,25,8,6,7
42,10,20,9,9,10
41,12,16,10,14,7
42,12,23,11,6,6
42,14,14,5,17,8
36,23,25,0,7,9
42,9,22,10,11,6
43,8,22,5,16,6
39,16,22,7,5,11
45,8,18,5,13,11
39,16,17,6,14,8
44,9,29,6,5,7
37,15,24,6,10,8
44,13,12,11,13,7
37,15,31,5,7,5
37,20,26,0,6,11
39,15,24,0,16,6
46,10,19,6,6,13
39,13,27,9,7,5
41,20,16,9,5,9
39,11,23,7,13,7
40,14,25,10,5,6
37,15,25,5,9,9
47,13,11,10,12,7
39,12,22,7,11,9
44,22,10,8,10,6
42,18,13,11,10,6
46,11,15,9,8,11
46,10,14,6,13,11
42,18,17,12,6,5
42,12,21,0,15,10
42,21,11,6,14,6
37,17,29,7,5,5
36,23,24,0,11,6
44,13,12,7,17,7
42,11,21,10,7,9
40,11,23,5,10,11
42,18,16,10,5,9
42,9,25,6,7,11
42,22,11,6,13,6
41,13,17,9,10,10
44,14,11,10,15,6
38,14,23,7,9,9
45,8,19,7,16,5
36,29,24,0,5,6
45,7,22,5,15,6
44,7,21,7,14,7
45,18,10,9,10,8
43,10,24,6,5,12
45,13,14,6,9,13
46,8,18,9,14,5
44,7,26,6,12,5
41,10,23,10,10,6
47,16,10,5,15,7
39,20,17,9,8,7
42,13,13,9,16,7
37,17,28,0,9,9
42,13,16,5,12,12
39,15,19,6,11,10
46,13,11,10,14,6
46,7,26,6,7,8
41,12,18,5,18,6
39,11,24,8,11,7
43,16,13,12,11,5
40,18,15,9,10,8
47,13,12,9,9,10
45,20,10,7,9,9
38,17,22,7,6,10
44,9,20,11,11,5
44,8,19,7,16,6
36,17,26,7,8,6
45,7,20,7,11,10
43,17,13,6,9,12
40,17,15,5,17,6
38,19,22,9,5,7
42,13,13,9,15,8
46,9,16,8,16,5
43,13,19,10,5,10
41,15,14,6,17,7
47,9,16,5,11,12
46,8,27,5,5,9
40,16,15,10,13,6
47,22,10,9,7,5
39,17,21,7,5,11
46,12,17,5,6,14
42,14,20,0,19,5
45,18,11,11,9,6
46,8,26,5,5,10
47,8,18,7,9,11
35,19,29,5,7,5
40,19,17,8,6,10
46,22,11,7,5,9
43,7,23,7,12,8
44,9,16,10,14,7
42,13,15,8,11,11
47,19,9,8,12,5
44,17,11,11,11,6
38,17,19,9,12,5
41,10,20,6,13,10
39,13,30,7,6,5
46,20,10,10,9,5
43,10,32,0,8,7
36,19,23,6,9,7
45,7,28,5,9,6
41,9,30,5,9,6
40,15,17,8,10,10
43,12,14,7,13,11
47,22,9,5,10,7
45,15,10,9,14,7
47,15,12,8,7,11
43,17,16,0,19,5
43,14,12,7,17,7
40,12,18,9,14,7
37,20,21,7,7,8
42,22,12,9,9,6
35,21,25,6,8,5
45,9,30,5,6,5
41,12,16,10,15,6
38,19,17,7,14,5
40,19,15,5,11,10
42,10,30,0,8,10
45,9,15,9,15,7
41,10,20,8,16,5
45,18,12,6,7,12
38,14,24,9,9,6
44,10,21,10,6,9
40,14,16,7,17,6
41,30,15,0,9,5
36,18,25,6,7,8
43,14,22,0,6,15
46,7,21,5,15,6
46,8,26,6,5,9
43,12,22,0,9,14
44,12,17,11,7,9
44,10,15,8,17,6
43,20,13,9,6,9
41,16,14,11,13,5
44,10,16,11,11,8
44,10,20,6,7,13
37,17,30,0,7,9
44,15,11,7,13,10
44,11,15,7,11,12
40,14,17,6,18,5
45,20,10,9,9,7
47,8,26,6,5,8
47,8,19,5,16,5
38,18,21,5,7,11
40,17,15,8,11,9
41,10,23,10,11,5
45,15,11,5,14,10
43,12,22,11,5,7
46,11,14,7,10,12
44,11,20,12,8,5
43,22,15,0,7,13
44,16,16,5,5,14
47,7,26,6,8,6
41,13,22,9,5,10
46,7,20,5,11,11
41,12,23,11,8,5
47,14,12,8,8,11
45,8,22,10,9,6
37,20,23,8,5,7
42,11,21,11,8,7
40,11,20,9,13,7
39,24,19,0,7,11
37,20,20,7,9,7
40,22,16,9,6,7
45,22,10,9,9,5
35,18,28,5,9,5
40,16,15,7,13,9
38,12,30,5,10,5
36,20,32,0,7,5
42,15,16,12,9,6
40,11,21,9,11,8
46,9,16,10,14,5
45,10,17,9,8,11
39,16,17,8,12,8
45,10,15,8,17,5
44,19,12,10,7,8
47,10,15,11,12,5
45,7,20,5,13,10
46,15,10,7,13,9
40,11,20,7,16,6
36,19,24,6,7,8
47,12,12,6,16,7
43,14,21,12,5,5
44,14,13,7,10,12
39,12,28,7,6,8
47,16,13,7,5,12
44,8,21,5,10,12
37,22,19,5,10,7
47,7,20,5,10,11
40,15,16,10,12,7
40,15,27,0,5,13
40,16,21,0,18,5
45,11,13,10,12,9
42,11,17,6,18,6
44,11,20,11,6,8
44,11,13,8,15,9
45,7,26,7,8,7
46,9,19,7,7,12
40,19,20,11,5,5
47,13,11,10,13,6
42,11,19,7,9,12
45,9,17,7,17,5
45,14,15,11,6,9
47,19,11,6,6,11
